[32T3J 893]
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand KKTTT is 5
Ranked Hand: {5 [13 13 10 10 10] 518}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 6J692 is 5
Ranked Hand: {5 [6 1 6 9 2] 826}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 8Q2A2 is 2
Ranked Hand: {2 [8 12 2 14 2] 403}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 9J899 is 6
Ranked Hand: {6 [9 1 8 9 9] 990}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 9966A is 3
Ranked Hand: {3 [9 9 6 6 14] 887}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 55J25 is 6
Ranked Hand: {6 [5 5 1 2 5] 620}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 4TT66 is 3
Ranked Hand: {3 [4 10 10 6 6] 125}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 62JK8 is 2
Ranked Hand: {2 [6 2 1 13 8] 68}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 44766 is 3
Ranked Hand: {3 [4 4 7 6 6] 342}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 2A475 is 1
Ranked Hand: {1 [2 14 4 7 5] 513}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand KJKK4 is 6
Ranked Hand: {6 [13 1 13 13 4] 385}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 324J8 is 2
Ranked Hand: {2 [3 2 4 1 8] 569}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 66636 is 6
Ranked Hand: {6 [6 6 6 3 6] 785}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 438KQ is 1
Ranked Hand: {1 [4 3 8 13 12] 143}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 54855 is 4
Ranked Hand: {4 [5 4 8 5 5] 749}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 93929 is 4
Ranked Hand: {4 [9 3 9 2 9] 337}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 58886 is 4
Ranked Hand: {4 [5 8 8 8 6] 853}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 9AT99 is 4
Ranked Hand: {4 [9 14 10 9 9] 266}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 59535 is 4
Ranked Hand: {4 [5 9 5 3 5] 547}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 99599 is 6
Ranked Hand: {6 [9 9 5 9 9] 451}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 7367Q is 2
Ranked Hand: {2 [7 3 6 7 12] 335}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 534A9 is 1
Ranked Hand: {1 [5 3 4 14 9] 409}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand AAJQQ is 5
Ranked Hand: {5 [14 14 1 12 12] 758}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 68K54 is 1
Ranked Hand: {1 [6 8 13 5 4] 909}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand JK259 is 2
Ranked Hand: {2 [1 13 2 5 9] 859}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand A3535 is 3
Ranked Hand: {3 [14 3 5 3 5] 938}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand J6446 is 5
Ranked Hand: {5 [1 6 4 4 6] 969}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 97999 is 6
Ranked Hand: {6 [9 7 9 9 9] 659}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 446A6 is 3
Ranked Hand: {3 [4 4 6 14 6] 851}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 48T9T is 2
Ranked Hand: {2 [4 8 10 9 10] 848}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand K5T7A is 1
Ranked Hand: {1 [13 5 10 7 14] 412}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 8J696 is 5
Ranked Hand: {5 [8 1 6 9 6] 517}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand JT664 is 5
Ranked Hand: {5 [1 10 6 6 4] 306}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand TQ6Q2 is 2
Ranked Hand: {2 [10 12 6 12 2] 416}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 66667 is 6
Ranked Hand: {6 [6 6 6 6 7] 60}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand T89AQ is 1
Ranked Hand: {1 [10 8 9 14 12] 235}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 54J34 is 5
Ranked Hand: {5 [5 4 1 3 4] 824}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 64969 is 3
Ranked Hand: {3 [6 4 9 6 9] 141}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand 73JKJ is 4
Ranked Hand: {4 [7 3 1 13 1] 427}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand AAT3K is 2
Ranked Hand: {2 [14 14 10 3 13] 249}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand T7T77 is 5
Ranked Hand: {5 [10 7 10 7 7] 891}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 8JA88 is 6
Ranked Hand: {6 [8 1 14 8 8] 861}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 74T57 is 2
Ranked Hand: {2 [7 4 10 5 7] 514}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 69A9K is 2
Ranked Hand: {2 [6 9 14 9 13] 937}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand JJK7K is 6
Ranked Hand: {6 [1 1 13 7 13] 651}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand AAQQQ is 5
Ranked Hand: {5 [14 14 12 12 12] 827}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 622TJ is 5
Ranked Hand: {5 [6 2 2 10 1] 142}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 72882 is 3
Ranked Hand: {3 [7 2 8 8 2] 822}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 44595 is 3
Ranked Hand: {3 [4 4 5 9 5] 71}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand KKKJ8 is 6
Ranked Hand: {6 [13 13 13 1 8] 257}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 6656T is 4
Ranked Hand: {4 [6 6 5 6 10] 151}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 64725 is 1
Ranked Hand: {1 [6 4 7 2 5] 78}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J65AA is 5
Ranked Hand: {5 [1 6 5 14 14] 193}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 68744 is 2
Ranked Hand: {2 [6 8 7 4 4] 920}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 63943 is 2
Ranked Hand: {2 [6 3 9 4 3] 399}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 9KQQ9 is 3
Ranked Hand: {3 [9 13 12 12 9] 685}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 4K2A9 is 1
Ranked Hand: {1 [4 13 2 14 9] 240}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand A236A is 2
Ranked Hand: {2 [14 2 3 6 14] 282}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 77575 is 5
Ranked Hand: {5 [7 7 5 7 5] 442}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand 648JJ is 4
Ranked Hand: {4 [6 4 8 1 1] 463}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 55655 is 6
Ranked Hand: {6 [5 5 6 5 5] 520}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 99K99 is 6
Ranked Hand: {6 [9 9 13 9 9] 973}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 9J9AA is 5
Ranked Hand: {5 [9 1 9 14 14] 699}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 72K22 is 4
Ranked Hand: {4 [7 2 13 2 2] 460}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand JK47A is 2
Ranked Hand: {2 [1 13 4 7 14] 817}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 3Q3Q3 is 5
Ranked Hand: {5 [3 12 3 12 3] 713}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand J4628 is 2
Ranked Hand: {2 [1 4 6 2 8] 44}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand Q88AQ is 3
Ranked Hand: {3 [12 8 8 14 12] 986}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand J6668 is 6
Ranked Hand: {6 [1 6 6 6 8] 375}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand T85T8 is 3
Ranked Hand: {3 [10 8 5 10 8] 988}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 4T44T is 5
Ranked Hand: {5 [4 10 4 4 10] 506}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand K9989 is 4
Ranked Hand: {4 [13 9 9 8 9] 311}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 48888 is 6
Ranked Hand: {6 [4 8 8 8 8] 368}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 7753K is 2
Ranked Hand: {2 [7 7 5 3 13] 952}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 88666 is 5
Ranked Hand: {5 [8 8 6 6 6] 761}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand J8AJA is 6
Ranked Hand: {6 [1 8 14 1 14] 136}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 74494 is 4
Ranked Hand: {4 [7 4 4 9 4] 175}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand KK373 is 3
Ranked Hand: {3 [13 13 3 7 3] 657}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 4KT4T is 3
Ranked Hand: {3 [4 13 10 4 10] 712}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 9339J is 5
Ranked Hand: {5 [9 3 3 9 1] 99}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand K52T7 is 1
Ranked Hand: {1 [13 5 2 10 7] 47}
Inverser counts: {
	"1": 1,
	"2": 1
}, jcount 2
Grade of hand JJ8QQ is 6
Ranked Hand: {6 [1 1 8 12 12] 42}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 32222 is 6
Ranked Hand: {6 [3 2 2 2 2] 210}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 62626 is 5
Ranked Hand: {5 [6 2 6 2 6] 212}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 65552 is 4
Ranked Hand: {4 [6 5 5 5 2] 213}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 47A82 is 1
Ranked Hand: {1 [4 7 14 8 2] 260}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand T4J6A is 2
Ranked Hand: {2 [10 4 1 6 14] 41}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 345J3 is 5
Ranked Hand: {5 [3 4 5 1 3] 82}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 4799J is 5
Ranked Hand: {5 [4 7 9 9 1] 924}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand JT5K9 is 2
Ranked Hand: {2 [1 10 5 13 9] 181}
Inverser counts: {
	"3": 1
}, jcount 2
Grade of hand 8JJ88 is 7
Ranked Hand: {7 [8 1 1 8 8] 791}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand T4672 is 1
Ranked Hand: {1 [10 4 6 7 2] 476}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand A675K is 1
Ranked Hand: {1 [14 6 7 5 13] 204}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 7A499 is 2
Ranked Hand: {2 [7 14 4 9 9] 354}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 848JK is 5
Ranked Hand: {5 [8 4 8 1 13] 377}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 3863K is 2
Ranked Hand: {2 [3 8 6 3 13] 787}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 4929Q is 2
Ranked Hand: {2 [4 9 2 9 12] 183}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand KKK78 is 4
Ranked Hand: {4 [13 13 13 7 8] 872}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 65KK9 is 2
Ranked Hand: {2 [6 5 13 13 9] 958}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 94355 is 2
Ranked Hand: {2 [9 4 3 5 5] 434}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 37T7Q is 2
Ranked Hand: {2 [3 7 10 7 12] 523}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 338T6 is 2
Ranked Hand: {2 [3 3 8 10 6] 447}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 52JA5 is 5
Ranked Hand: {5 [5 2 1 14 5] 39}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand JAAKA is 6
Ranked Hand: {6 [1 14 14 13 14] 326}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 8KKQ8 is 3
Ranked Hand: {3 [8 13 13 12 8] 715}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 5T333 is 4
Ranked Hand: {4 [5 10 3 3 3] 533}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 44T2J is 5
Ranked Hand: {5 [4 4 10 2 1] 131}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 233K3 is 4
Ranked Hand: {4 [2 3 3 13 3] 831}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 935T6 is 1
Ranked Hand: {1 [9 3 5 10 6] 689}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand A64K8 is 1
Ranked Hand: {1 [14 6 4 13 8] 929}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand T7699 is 2
Ranked Hand: {2 [10 7 6 9 9] 630}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 2QJ66 is 5
Ranked Hand: {5 [2 12 1 6 6] 669}
Inverser counts: {
	"1": 3
}, jcount 2
Grade of hand A2KJJ is 4
Ranked Hand: {4 [14 2 13 1 1] 922}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand AT992 is 2
Ranked Hand: {2 [14 10 9 9 2] 588}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 93QTQ is 2
Ranked Hand: {2 [9 3 12 10 12] 251}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand 66668 is 6
Ranked Hand: {6 [6 6 6 6 8] 440}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 7KJTT is 5
Ranked Hand: {5 [7 13 1 10 10] 393}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 8T674 is 1
Ranked Hand: {1 [8 10 6 7 4] 269}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 8AA32 is 2
Ranked Hand: {2 [8 14 14 3 2] 324}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 97AJ9 is 5
Ranked Hand: {5 [9 7 14 1 9] 692}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 3J335 is 6
Ranked Hand: {6 [3 1 3 3 5] 563}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 2A3K7 is 1
Ranked Hand: {1 [2 14 3 13 7] 229}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand QK7KQ is 3
Ranked Hand: {3 [12 13 7 13 12] 772}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand QQAA9 is 3
Ranked Hand: {3 [12 12 14 14 9] 834}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 73232 is 3
Ranked Hand: {3 [7 3 2 3 2] 916}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 296Q7 is 1
Ranked Hand: {1 [2 9 6 12 7] 464}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 65J65 is 5
Ranked Hand: {5 [6 5 1 6 5] 272}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand KKK55 is 5
Ranked Hand: {5 [13 13 13 5 5] 721}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 66333 is 5
Ranked Hand: {5 [6 6 3 3 3] 223}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand QQQTA is 4
Ranked Hand: {4 [12 12 12 10 14] 663}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 9AKAA is 4
Ranked Hand: {4 [9 14 13 14 14] 604}
Inverser counts: {
	"4": 1
}, jcount 1
Grade of hand 888J8 is 7
Ranked Hand: {7 [8 8 8 1 8] 261}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 64646 is 5
Ranked Hand: {5 [6 4 6 4 6] 605}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 636J6 is 6
Ranked Hand: {6 [6 3 6 1 6] 452}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 6J665 is 6
Ranked Hand: {6 [6 1 6 6 5] 873}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 94TTT is 4
Ranked Hand: {4 [9 4 10 10 10] 507}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand KT9K9 is 3
Ranked Hand: {3 [13 10 9 13 9] 616}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand K2K53 is 2
Ranked Hand: {2 [13 2 13 5 3] 426}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 4T944 is 4
Ranked Hand: {4 [4 10 9 4 4] 751}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 43423 is 3
Ranked Hand: {3 [4 3 4 2 3] 809}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 889T8 is 4
Ranked Hand: {4 [8 8 9 10 8] 509}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 3AKQJ is 2
Ranked Hand: {2 [3 14 13 12 1] 655}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand QQQ98 is 4
Ranked Hand: {4 [12 12 12 9 8] 146}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 9Q444 is 4
Ranked Hand: {4 [9 12 4 4 4] 359}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 993J4 is 5
Ranked Hand: {5 [9 9 3 1 4] 59}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 22K26 is 4
Ranked Hand: {4 [2 2 13 2 6] 75}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand T58K2 is 1
Ranked Hand: {1 [10 5 8 13 2] 118}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 5T55Q is 4
Ranked Hand: {4 [5 10 5 5 12] 808}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 6A4Q4 is 2
Ranked Hand: {2 [6 14 4 12 4] 492}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand T4JT9 is 5
Ranked Hand: {5 [10 4 1 10 9] 516}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand TJ8A5 is 2
Ranked Hand: {2 [10 1 8 14 5] 552}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 3AQ59 is 1
Ranked Hand: {1 [3 14 12 5 9] 4}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 297K3 is 1
Ranked Hand: {1 [2 9 7 13 3] 915}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 7Q288 is 2
Ranked Hand: {2 [7 12 2 8 8] 815}
Inverser counts: {
	"2": 2
}, jcount 1
Grade of hand 44KJK is 5
Ranked Hand: {5 [4 4 13 1 13] 726}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 8J496 is 2
Ranked Hand: {2 [8 1 4 9 6] 531}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 88A3A is 3
Ranked Hand: {3 [8 8 14 3 14] 979}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 2AQ76 is 1
Ranked Hand: {1 [2 14 12 7 6] 21}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand K5K8K is 4
Ranked Hand: {4 [13 5 13 8 13] 248}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 2373Q is 2
Ranked Hand: {2 [2 3 7 3 12] 603}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand Q5666 is 4
Ranked Hand: {4 [12 5 6 6 6] 660}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand Q2424 is 3
Ranked Hand: {3 [12 2 4 2 4] 472}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand J2422 is 6
Ranked Hand: {6 [1 2 4 2 2] 828}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand TT7TT is 6
Ranked Hand: {6 [10 10 7 10 10] 304}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand KJKQ7 is 5
Ranked Hand: {5 [13 1 13 12 7] 960}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 2AT68 is 1
Ranked Hand: {1 [2 14 10 6 8] 24}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand T66Q6 is 4
Ranked Hand: {4 [10 6 6 12 6] 899}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand A9852 is 1
Ranked Hand: {1 [14 9 8 5 2] 225}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand TT2TT is 6
Ranked Hand: {6 [10 10 2 10 10] 852}
Inverser counts: {
	"1": 1,
	"2": 2
}, jcount 0
Grade of hand 75975 is 3
Ranked Hand: {3 [7 5 9 7 5] 720}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 73AT3 is 2
Ranked Hand: {2 [7 3 14 10 3] 671}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand J7773 is 6
Ranked Hand: {6 [1 7 7 7 3] 155}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand 52225 is 5
Ranked Hand: {5 [5 2 2 2 5] 15}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand ATJKT is 5
Ranked Hand: {5 [14 10 1 13 10] 299}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 6KKKJ is 6
Ranked Hand: {6 [6 13 13 13 1] 168}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 667J4 is 5
Ranked Hand: {5 [6 6 7 1 4] 732}
Inverser counts: {
	"1": 1,
	"3": 1
}, jcount 1
Grade of hand 44J47 is 6
Ranked Hand: {6 [4 4 1 4 7] 188}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 77Q78 is 4
Ranked Hand: {4 [7 7 12 7 8] 43}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand Q63K8 is 1
Ranked Hand: {1 [12 6 3 13 8] 741}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 4T4A4 is 4
Ranked Hand: {4 [4 10 4 14 4] 939}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand Q7Q77 is 5
Ranked Hand: {5 [12 7 12 7 7] 905}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand KKK9K is 6
Ranked Hand: {6 [13 13 13 9 13] 294}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand KAJ4K is 5
Ranked Hand: {5 [13 14 1 4 13] 330}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand 977TJ is 5
Ranked Hand: {5 [9 7 7 10 1] 842}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 56JKQ is 2
Ranked Hand: {2 [5 6 1 13 12] 300}
Inverser counts: {
	"1": 5
}, jcount 0
Grade of hand 67K5T is 1
Ranked Hand: {1 [6 7 13 5 10] 26}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J944K is 5
Ranked Hand: {5 [1 9 4 4 13] 468}
Inverser counts: {
	"2": 1,
	"3": 1
}, jcount 0
Grade of hand Q3Q3Q is 5
Ranked Hand: {5 [12 3 12 3 12] 187}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 777AQ is 4
Ranked Hand: {4 [7 7 7 14 12] 975}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 42Q7J is 2
Ranked Hand: {2 [4 2 12 7 1] 264}
Inverser counts: {
	"1": 2,
	"2": 1
}, jcount 1
Grade of hand J5KQ5 is 5
Ranked Hand: {5 [1 5 13 12 5] 994}
Inverser counts: {
	"1": 4
}, jcount 1
Grade of hand 9J42A is 2
Ranked Hand: {2 [9 1 4 2 14] 670}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 8A4QA is 2
Ranked Hand: {2 [8 14 4 12 14] 525}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
Grade of hand 7TTT6 is 4
Ranked Hand: {4 [7 10 10 10 6] 877}
Inverser counts: {
	"1": 1,
	"4": 1
}, jcount 0
Grade of hand K8KKK is 6
Ranked Hand: {6 [13 8 13 13 13] 497}
Inverser counts: {
	"1": 3,
	"2": 1
}, jcount 0
Grade of hand 67T62 is 2
Ranked Hand: {2 [6 7 10 6 2] 483}
Inverser counts: {
	"1": 2,
	"3": 1
}, jcount 0
